source_file,source_page,source_row,reason,original_record
Drug_Products_Directory_Yemen.pdf,5,4,"Arabic source text extracted from PDF requires visual/source review; value was preserved without correction","ان ًؼذح"
Drug_Products_Directory_Yemen.pdf,6,4,"Arabic source text extracted from PDF requires visual/source review; value was preserved without correction","أيشاض انغكشي"
Drug_Products_Directory_Yemen.pdf,6,5,"Arabic source text extracted from PDF requires visual/source review; value was preserved without correction","َضالد انجشد"
Drug_Products_Directory_Yemen.pdf,6,6,"Arabic source text extracted from PDF requires visual/source review; value was preserved without correction","َضالد انجشد"
Drug_Products_Directory_Yemen.pdf,6,7,"Arabic source text extracted from PDF requires visual/source review; value was preserved without correction","انهضى"
Drug_Products_Directory_Yemen.pdf,7,1,"Arabic source text extracted from PDF requires visual/source review; value was preserved without correction","أيشاض انغكشي"
Drug_Products_Directory_Yemen.pdf,7,2,"Arabic source text extracted from PDF requires visual/source review; value was preserved without correction","أيشاض انغكشي"
Drug_Products_Directory_Yemen.pdf,7,3,"Arabic source text extracted from PDF requires visual/source review; value was preserved without correction","أيشاض انغكشي"
Drug_Products_Directory_Yemen.pdf,7,4,"Arabic source text extracted from PDF requires visual/source review; value was preserved without correction","األوجبع"
Drug_Products_Directory_Yemen.pdf,7,5,"Arabic source text extracted from PDF requires visual/source review; value was preserved without correction","األصبثبد انف ٍشوع ٍخ"
Drug_Products_Directory_Yemen.pdf,7,6,"Arabic source text extracted from PDF requires visual/source review; value was preserved without correction","األصبثبد انف ٍشوع ٍخ"
Drug_Products_Directory_Yemen.pdf,7,7,"Arabic source text extracted from PDF requires visual/source review; value was preserved without correction","استفبع ضغظ انذو"
Drug_Products_Directory_Yemen.pdf,8,2,"Arabic source text extracted from PDF requires visual/source review; value was preserved without correction","ا َتظبو ضشثبد انمهت"
Drug_Products_Directory_Yemen.pdf,8,3,"Arabic source text extracted from PDF requires visual/source review; value was preserved without correction","ا َتظبو ضشثبد انمهت"
Drug_Products_Directory_Yemen.pdf,8,4,"Arabic source text extracted from PDF requires visual/source review; value was preserved without correction","Analgesic يهذئبد األوجبع وانح ًى"
Drug_Products_Directory_Yemen.pdf,8,5,"Arabic source text extracted from PDF requires visual/source review; value was preserved without correction","َضالد انجشد"
Drug_Products_Directory_Yemen.pdf,8,6,"Arabic source text extracted from PDF requires visual/source review; value was preserved without correction","Analgesic يهذئبد األوجبع وانح ًى"
Drug_Products_Directory_Yemen.pdf,8,7,"Arabic source text extracted from PDF requires visual/source review; value was preserved without correction","Analgesic يهذئبد األوجبع وانح ًى"
Drug_Products_Directory_Yemen.pdf,9,1,"Arabic source text extracted from PDF requires visual/source review; value was preserved without correction","Analgesic يهذئبد األوجبع وانح ًى"
Drug_Products_Directory_Yemen.pdf,9,2,"Arabic source text extracted from PDF requires visual/source review; value was preserved without correction","Analgesic يهذئبد األوجبع وانح ًى"
Drug_Products_Directory_Yemen.pdf,9,3,"Arabic source text extracted from PDF requires visual/source review; value was preserved without correction","Shock انصذيخ األغ ًبئ ٍخ"
Drug_Products_Directory_Yemen.pdf,9,4,"Arabic source text extracted from PDF requires visual/source review; value was preserved without correction","األوجبع"
Drug_Products_Directory_Yemen.pdf,9,5,"Arabic source text extracted from PDF requires visual/source review; value was preserved without correction","األوجبع"
Drug_Products_Directory_Yemen.pdf,9,6,"Arabic source text extracted from PDF requires visual/source review; value was preserved without correction","األوجبع"
Drug_Products_Directory_Yemen.pdf,9,7,"Arabic source text extracted from PDF requires visual/source review; value was preserved without correction","األوجبع"
Drug_Products_Directory_Yemen.pdf,10,2,"Arabic source text extracted from PDF requires visual/source review; value was preserved without correction","Asthma انشثى ً انشؼج"
Drug_Products_Directory_Yemen.pdf,10,3,"Arabic source text extracted from PDF requires visual/source review; value was preserved without correction","ان ًؼذح"
Drug_Products_Directory_Yemen.pdf,10,4,"Arabic source text extracted from PDF requires visual/source review; value was preserved without correction","َضالد انجشد"
Drug_Products_Directory_Yemen.pdf,10,5,"Arabic source text extracted from PDF requires visual/source review; value was preserved without correction","َضالد انجشد"
Drug_Products_Directory_Yemen.pdf,10,6,"Arabic source text extracted from PDF requires visual/source review; value was preserved without correction","َضالد انجشد"
Drug_Products_Directory_Yemen.pdf,10,7,"Arabic source text extracted from PDF requires visual/source review; value was preserved without correction","َضالد انجشد"
Drug_Products_Directory_Yemen.pdf,11,1,"Arabic source text extracted from PDF requires visual/source review; value was preserved without correction","َضالد انجشد"
Drug_Products_Directory_Yemen.pdf,11,2,"Arabic source text extracted from PDF requires visual/source review; value was preserved without correction","َضالد انجشد"
Drug_Products_Directory_Yemen.pdf,11,3,"Arabic source text extracted from PDF requires visual/source review; value was preserved without correction","َضالد انجشد"
Drug_Products_Directory_Yemen.pdf,11,4,"Arabic source text extracted from PDF requires visual/source review; value was preserved without correction","Insumnea األسق وانمهك"
Drug_Products_Directory_Yemen.pdf,11,5,"Arabic source text extracted from PDF requires visual/source review; value was preserved without correction","disease يشض انشػبػ"
Drug_Products_Directory_Yemen.pdf,11,6,"Arabic source text extracted from PDF requires visual/source review; value was preserved without correction","disease يشض انشػبػ"
Drug_Products_Directory_Yemen.pdf,11,7,"Arabic source text extracted from PDF requires visual/source review; value was preserved without correction","ٌ انشبئؼخ انذ ٌذا"
Drug_Products_Directory_Yemen.pdf,12,1,"Arabic source text extracted from PDF requires visual/source review; value was preserved without correction","ٌ انشبئؼخ انذ ٌذا"
Drug_Products_Directory_Yemen.pdf,12,2,"Arabic source text extracted from PDF requires visual/source review; value was preserved without correction","ٌ انشبئؼخ انذ ٌذا"
Drug_Products_Directory_Yemen.pdf,12,3,"Arabic source text extracted from PDF requires visual/source review; value was preserved without correction","ٌ انشبئؼخ انذ ٌذا"
Drug_Products_Directory_Yemen.pdf,12,5,"Arabic source text extracted from PDF requires visual/source review; value was preserved without correction","Infections األصبثبد انجكت ٍش ٌخ"
Drug_Products_Directory_Yemen.pdf,12,6,"Arabic source text extracted from PDF requires visual/source review; value was preserved without correction","Infections األصبثبد انجكت ٍش ٌخ"
Drug_Products_Directory_Yemen.pdf,12,7,"Arabic source text extracted from PDF requires visual/source review; value was preserved without correction","Infections األصبثبد انجكت ٍش ٌخ"
Drug_Products_Directory_Yemen.pdf,13,1,"Arabic source text extracted from PDF requires visual/source review; value was preserved without correction","Gardiasis جبسد ٌب واي ٍج ٍب"
Drug_Products_Directory_Yemen.pdf,13,2,"Arabic source text extracted from PDF requires visual/source review; value was preserved without correction","Gardiasis جبسد ٌب واي ٍج ٍب"
Drug_Products_Directory_Yemen.pdf,13,3,"Arabic source text extracted from PDF requires visual/source review; value was preserved without correction","Gardiasis جبسد ٌب واي ٍج ٍب"
Drug_Products_Directory_Yemen.pdf,13,4,"Arabic source text extracted from PDF requires visual/source review; value was preserved without correction","Gardiasis جبسد ٌب واي ٍج ٍب"
Drug_Products_Directory_Yemen.pdf,13,5,"Arabic source text extracted from PDF requires visual/source review; value was preserved without correction","Gardiasis جبسد ٌب واي ٍج ٍب"
Drug_Products_Directory_Yemen.pdf,13,6,"Arabic source text extracted from PDF requires visual/source review; value was preserved without correction","استفبع ضغظ انذو"
Drug_Products_Directory_Yemen.pdf,13,7,"Arabic source text extracted from PDF requires visual/source review; value was preserved without correction","استفبع ضغظ انذو"
Drug_Products_Directory_Yemen.pdf,14,1,"Arabic source text extracted from PDF requires visual/source review; value was preserved without correction","انتهبثبد انؼظبو"
Drug_Products_Directory_Yemen.pdf,14,4,"Arabic source text extracted from PDF requires visual/source review; value was preserved without correction","َضالد انجشد"
Drug_Products_Directory_Yemen.pdf,15,5,"Arabic source text extracted from PDF requires visual/source review; value was preserved without correction","األنتهبثبد انجذنذ ٌخ"
Drug_Products_Directory_Yemen.pdf,15,6,"Arabic source text extracted from PDF requires visual/source review; value was preserved without correction","General انتخذ ٌش انؼبو"
Drug_Products_Directory_Yemen.pdf,15,7,"Arabic source text extracted from PDF requires visual/source review; value was preserved without correction","األوجبع"
Drug_Products_Directory_Yemen.pdf,16,2,"Arabic source text extracted from PDF requires visual/source review; value was preserved without correction","Analgesic يهذئبد األوجبع وانح ًى"
Drug_Products_Directory_Yemen.pdf,16,3,"Arabic source text extracted from PDF requires visual/source review; value was preserved without correction","( E . N . T ) األ َف ٌ وانح ُجشح واألر"
Drug_Products_Directory_Yemen.pdf,16,4,"Arabic source text extracted from PDF requires visual/source review; value was preserved without correction","استفبع ضغظ انذو"
Drug_Products_Directory_Yemen.pdf,16,5,"Arabic source text extracted from PDF requires visual/source review; value was preserved without correction","انهضى"
Drug_Products_Directory_Yemen.pdf,17,2,"Arabic source text extracted from PDF requires visual/source review; value was preserved without correction","Spasm ٍ آالو انجط"
Drug_Products_Directory_Yemen.pdf,17,3,"Arabic source text extracted from PDF requires visual/source review; value was preserved without correction","Disorders اضطشاثبد انجهبص ً انت ُفغ"
Drug_Products_Directory_Yemen.pdf,17,4,"Arabic source text extracted from PDF requires visual/source review; value was preserved without correction","َضالد انجشد"
Drug_Products_Directory_Yemen.pdf,17,5,"Arabic source text extracted from PDF requires visual/source review; value was preserved without correction","ان ًؼذح"
Drug_Products_Directory_Yemen.pdf,17,6,"Arabic source text extracted from PDF requires visual/source review; value was preserved without correction","األوجبع"
Drug_Products_Directory_Yemen.pdf,17,7,"Arabic source text extracted from PDF requires visual/source review; value was preserved without correction","Disorders اضطشاثبد انكجذ"
Drug_Products_Directory_Yemen.pdf,18,1,"Arabic source text extracted from PDF requires visual/source review; value was preserved without correction","انغغىالد انف ًى ٌخ"
Drug_Products_Directory_Yemen.pdf,18,3,"Arabic source text extracted from PDF requires visual/source review; value was preserved without correction","Insumnea األسق وانمهك"
Drug_Products_Directory_Yemen.pdf,18,4,"Arabic source text extracted from PDF requires visual/source review; value was preserved without correction","األوجبع"
Drug_Products_Directory_Yemen.pdf,18,5,"Arabic source text extracted from PDF requires visual/source review; value was preserved without correction","األوجبع"
Drug_Products_Directory_Yemen.pdf,19,1,"Arabic source text extracted from PDF requires visual/source review; value was preserved without correction","Infections األصبثبد انجكت ٍش ٌخ"
Drug_Products_Directory_Yemen.pdf,19,2,"Arabic source text extracted from PDF requires visual/source review; value was preserved without correction","Insumnea األسق وانمهك"
Drug_Products_Directory_Yemen.pdf,19,3,"Arabic source text extracted from PDF requires visual/source review; value was preserved without correction","Insumnea األسق وانمهك"
Drug_Products_Directory_Yemen.pdf,19,4,"Arabic source text extracted from PDF requires visual/source review; value was preserved without correction","Insumnea األسق وانمهك"
Drug_Products_Directory_Yemen.pdf,19,5,"Arabic source text extracted from PDF requires visual/source review; value was preserved without correction","Insumnea األسق وانمهك"
Drug_Products_Directory_Yemen.pdf,19,6,"Arabic source text extracted from PDF requires visual/source review; value was preserved without correction","انجهطبد"
Drug_Products_Directory_Yemen.pdf,19,7,"Arabic source text extracted from PDF requires visual/source review; value was preserved without correction","استفبع ضغظ انذو"
Drug_Products_Directory_Yemen.pdf,20,1,"Arabic source text extracted from PDF requires visual/source review; value was preserved without correction","استفبع ضغظ انذو"
Drug_Products_Directory_Yemen.pdf,20,2,"Arabic source text extracted from PDF requires visual/source review; value was preserved without correction","ٌ انشبئؼخ انذ ٌذا"
Drug_Products_Directory_Yemen.pdf,20,3,"Arabic source text extracted from PDF requires visual/source review; value was preserved without correction","أيشاض انغكشي"
Drug_Products_Directory_Yemen.pdf,20,4,"Arabic source text extracted from PDF requires visual/source review; value was preserved without correction","أيشاض انغكشي"
Drug_Products_Directory_Yemen.pdf,20,5,"Arabic source text extracted from PDF requires visual/source review; value was preserved without correction","أيشاض انغكشي"
Drug_Products_Directory_Yemen.pdf,20,6,"Arabic source text extracted from PDF requires visual/source review; value was preserved without correction","أيشاض انغكشي"
Drug_Products_Directory_Yemen.pdf,20,7,"Arabic source text extracted from PDF requires visual/source review; value was preserved without correction","Disorders اضطشاثبد انجهبص ً انت ُفغ"
Drug_Products_Directory_Yemen.pdf,21,1,"Arabic source text extracted from PDF requires visual/source review; value was preserved without correction","Disorders اضطشاثبد انجهبص ً انت ُفغ"
Drug_Products_Directory_Yemen.pdf,21,2,"Arabic source text extracted from PDF requires visual/source review; value was preserved without correction","Gardiasis جبسد ٌب واي ٍج ٍب"
Drug_Products_Directory_Yemen.pdf,21,3,"Arabic source text extracted from PDF requires visual/source review; value was preserved without correction","Infections ًٍكشوث ٍخ األصبثبد ان انخط ٍشح"
Drug_Products_Directory_Yemen.pdf,21,4,"Arabic source text extracted from PDF requires visual/source review; value was preserved without correction","Infections ًٍكشوث ٍخ األصبثبد ان انخط ٍشح"
Drug_Products_Directory_Yemen.pdf,21,5,"Arabic source text extracted from PDF requires visual/source review; value was preserved without correction","Infections ًٍكشوث ٍخ األصبثبد ان انخط ٍشح"
Drug_Products_Directory_Yemen.pdf,21,6,"Arabic source text extracted from PDF requires visual/source review; value was preserved without correction","Infections ًٍكشوث ٍخ األصبثبد ان انخط ٍشح"
Drug_Products_Directory_Yemen.pdf,21,7,"Arabic source text extracted from PDF requires visual/source review; value was preserved without correction","Infections ًٍكشوث ٍخ األصبثبد ان انخط ٍشح"
Drug_Products_Directory_Yemen.pdf,22,1,"Arabic source text extracted from PDF requires visual/source review; value was preserved without correction","Deficiency َمص ف ٍتبي ٍُبد"
Drug_Products_Directory_Yemen.pdf,22,2,"Arabic source text extracted from PDF requires visual/source review; value was preserved without correction","Asthma انشثى ً انشؼج"
Drug_Products_Directory_Yemen.pdf,22,3,"Arabic source text extracted from PDF requires visual/source review; value was preserved without correction","ا َتظبو ضشثبد انمهت"
Drug_Products_Directory_Yemen.pdf,22,4,"Arabic source text extracted from PDF requires visual/source review; value was preserved without correction","األيشاض انؼمه ٍخ"
Drug_Products_Directory_Yemen.pdf,22,5,"Arabic source text extracted from PDF requires visual/source review; value was preserved without correction","استفبع ضغظ انذو"
Drug_Products_Directory_Yemen.pdf,22,6,"Arabic source text extracted from PDF requires visual/source review; value was preserved without correction","استفبع ضغظ انذو"
Drug_Products_Directory_Yemen.pdf,22,7,"Arabic source text extracted from PDF requires visual/source review; value was preserved without correction","استفبع ضغظ انذو"
Drug_Products_Directory_Yemen.pdf,23,1,"Arabic source text extracted from PDF requires visual/source review; value was preserved without correction","استفبع ضغظ انذو"
Drug_Products_Directory_Yemen.pdf,23,2,"Arabic source text extracted from PDF requires visual/source review; value was preserved without correction","استفبع ضغظ انذو"
Drug_Products_Directory_Yemen.pdf,23,3,"Arabic source text extracted from PDF requires visual/source review; value was preserved without correction","استفبع ضغظ انذو"
Drug_Products_Directory_Yemen.pdf,23,4,"Arabic source text extracted from PDF requires visual/source review; value was preserved without correction","استفبع ضغظ انذو"
Drug_Products_Directory_Yemen.pdf,23,5,"Arabic source text extracted from PDF requires visual/source review; value was preserved without correction","استفبع ضغظ انذو"
Drug_Products_Directory_Yemen.pdf,23,6,"Arabic source text extracted from PDF requires visual/source review; value was preserved without correction","استفبع ضغظ انذو"
Drug_Products_Directory_Yemen.pdf,23,7,"Arabic source text extracted from PDF requires visual/source review; value was preserved without correction","استفبع ضغظ انذو"
Drug_Products_Directory_Yemen.pdf,24,1,"Arabic source text extracted from PDF requires visual/source review; value was preserved without correction","استفبع ضغظ انذو"
Drug_Products_Directory_Yemen.pdf,24,3,"Arabic source text extracted from PDF requires visual/source review; value was preserved without correction","Analgesic يهذئبد األوجبع وانح ًى"
Drug_Products_Directory_Yemen.pdf,24,4,"Arabic source text extracted from PDF requires visual/source review; value was preserved without correction","Analgesic يهذئبد األوجبع وانح ًى"
Drug_Products_Directory_Yemen.pdf,24,5,"Arabic source text extracted from PDF requires visual/source review; value was preserved without correction","Analgesic يهذئبد األوجبع وانح ًى"
Drug_Products_Directory_Yemen.pdf,24,6,"Arabic source text extracted from PDF requires visual/source review; value was preserved without correction","Analgesic يهذئبد األوجبع وانح ًى"
Drug_Products_Directory_Yemen.pdf,24,7,"Arabic source text extracted from PDF requires visual/source review; value was preserved without correction","Analgesic يهذئبد األوجبع وانح ًى"
Drug_Products_Directory_Yemen.pdf,25,1,"Arabic source text extracted from PDF requires visual/source review; value was preserved without correction","Analgesic يهذئبد األوجبع وانح ًى"
Drug_Products_Directory_Yemen.pdf,25,2,"Arabic source text extracted from PDF requires visual/source review; value was preserved without correction","Analgesic يهذئبد األوجبع وانح ًى"
Drug_Products_Directory_Yemen.pdf,25,3,"Arabic source text extracted from PDF requires visual/source review; value was preserved without correction","َضالد انجشد"
Drug_Products_Directory_Yemen.pdf,25,4,"Arabic source text extracted from PDF requires visual/source review; value was preserved without correction","Analgesic يهذئبد األوجبع وانح ًى"
Drug_Products_Directory_Yemen.pdf,25,5,"Arabic source text extracted from PDF requires visual/source review; value was preserved without correction","Analgesic يهذئبد األوجبع وانح ًى"
Drug_Products_Directory_Yemen.pdf,28,1,"Arabic source text extracted from PDF requires visual/source review; value was preserved without correction","Deficiency َمص ف ٍتبي ٍُبد"
Drug_Products_Directory_Yemen.pdf,29,4,"Arabic source text extracted from PDF requires visual/source review; value was preserved without correction","ان ُض ٌف"
Drug_Products_Directory_Yemen.pdf,29,5,"Arabic source text extracted from PDF requires visual/source review; value was preserved without correction","Infections األصبثبد انجكت ٍش ٌخ"
Drug_Products_Directory_Yemen.pdf,29,6,"Arabic source text extracted from PDF requires visual/source review; value was preserved without correction","Gardiasis جبسد ٌب واي ٍج ٍب"
Drug_Products_Directory_Yemen.pdf,29,7,"Arabic source text extracted from PDF requires visual/source review; value was preserved without correction","Gardiasis جبسد ٌب واي ٍج ٍب"
Drug_Products_Directory_Yemen.pdf,30,1,"Arabic source text extracted from PDF requires visual/source review; value was preserved without correction","Gardiasis جبسد ٌب واي ٍج ٍب"
Drug_Products_Directory_Yemen.pdf,30,2,"Arabic source text extracted from PDF requires visual/source review; value was preserved without correction","انهضى"
Drug_Products_Directory_Yemen.pdf,30,3,"Arabic source text extracted from PDF requires visual/source review; value was preserved without correction","أيشاض انغكشي"
Drug_Products_Directory_Yemen.pdf,30,4,"Arabic source text extracted from PDF requires visual/source review; value was preserved without correction","أيشاض انغكشي"
Drug_Products_Directory_Yemen.pdf,30,5,"Arabic source text extracted from PDF requires visual/source review; value was preserved without correction","أيشاض انغكشي"
Drug_Products_Directory_Yemen.pdf,30,6,"Arabic source text extracted from PDF requires visual/source review; value was preserved without correction","األيشاض انؼمه ٍخ"
Drug_Products_Directory_Yemen.pdf,31,1,"Arabic source text extracted from PDF requires visual/source review; value was preserved without correction","األيشاض انؼمه ٍخ"
Drug_Products_Directory_Yemen.pdf,31,2,"Arabic source text extracted from PDF requires visual/source review; value was preserved without correction","األيشاض انؼمه ٍخ"
Drug_Products_Directory_Yemen.pdf,31,3,"Arabic source text extracted from PDF requires visual/source review; value was preserved without correction","األوجبع"
Drug_Products_Directory_Yemen.pdf,31,4,"Arabic source text extracted from PDF requires visual/source review; value was preserved without correction","األوجبع"
Drug_Products_Directory_Yemen.pdf,31,5,"Arabic source text extracted from PDF requires visual/source review; value was preserved without correction","انجهطبد"
Drug_Products_Directory_Yemen.pdf,31,6,"Arabic source text extracted from PDF requires visual/source review; value was preserved without correction","Insumnea األسق وانمهك"
Drug_Products_Directory_Yemen.pdf,31,7,"Arabic source text extracted from PDF requires visual/source review; value was preserved without correction","Insumnea األسق وانمهك"
Drug_Products_Directory_Yemen.pdf,32,1,"Arabic source text extracted from PDF requires visual/source review; value was preserved without correction","Insumnea األسق وانمهك"
Drug_Products_Directory_Yemen.pdf,32,2,"Arabic source text extracted from PDF requires visual/source review; value was preserved without correction","Gardiasis جبسد ٌب واي ٍج ٍب"
Drug_Products_Directory_Yemen.pdf,32,3,"Arabic source text extracted from PDF requires visual/source review; value was preserved without correction","Gardiasis جبسد ٌب واي ٍج ٍب"
Drug_Products_Directory_Yemen.pdf,32,4,"Arabic source text extracted from PDF requires visual/source review; value was preserved without correction","هشيى َبد ج ُغ ٍخ"
Drug_Products_Directory_Yemen.pdf,32,5,"Arabic source text extracted from PDF requires visual/source review; value was preserved without correction","استفبع ضغظ انذو"
Drug_Products_Directory_Yemen.pdf,32,6,"Arabic source text extracted from PDF requires visual/source review; value was preserved without correction","استفبع ضغظ انذو"
Drug_Products_Directory_Yemen.pdf,32,7,"Arabic source text extracted from PDF requires visual/source review; value was preserved without correction","استفبع ضغظ انذو"
Drug_Products_Directory_Yemen.pdf,33,1,"Arabic source text extracted from PDF requires visual/source review; value was preserved without correction","انصذس ٌخ"
Drug_Products_Directory_Yemen.pdf,33,2,"Arabic source text extracted from PDF requires visual/source review; value was preserved without correction","Infections األصبثبد انجكت ٍش ٌخ"
Drug_Products_Directory_Yemen.pdf,33,3,"Arabic source text extracted from PDF requires visual/source review; value was preserved without correction","األنتهبثبد انجذنذ ٌخ"
Drug_Products_Directory_Yemen.pdf,33,4,"Arabic source text extracted from PDF requires visual/source review; value was preserved without correction","انجىاع ٍش"
Drug_Products_Directory_Yemen.pdf,33,5,"Arabic source text extracted from PDF requires visual/source review; value was preserved without correction","Deficiency َمص ف ٍتبي ٍُبد"
Drug_Products_Directory_Yemen.pdf,33,6,"Arabic source text extracted from PDF requires visual/source review; value was preserved without correction","Deficiency َمص ف ٍتبي ٍُبد"
Drug_Products_Directory_Yemen.pdf,33,7,"Arabic source text extracted from PDF requires visual/source review; value was preserved without correction","األوجبع"
Drug_Products_Directory_Yemen.pdf,34,1,"Arabic source text extracted from PDF requires visual/source review; value was preserved without correction","األوجبع"
Drug_Products_Directory_Yemen.pdf,34,2,"Arabic source text extracted from PDF requires visual/source review; value was preserved without correction","األوجبع"
Drug_Products_Directory_Yemen.pdf,34,5,"Arabic source text extracted from PDF requires visual/source review; value was preserved without correction","َضالد انجشد"
Drug_Products_Directory_Yemen.pdf,34,6,"Arabic source text extracted from PDF requires visual/source review; value was preserved without correction","Deficiency َمص ف ٍتبي ٍُبد"
Drug_Products_Directory_Yemen.pdf,35,2,"Arabic source text extracted from PDF requires visual/source review; value was preserved without correction","Infections األصبثبد انجكت ٍش ٌخ"
Drug_Products_Directory_Yemen.pdf,35,3,"Arabic source text extracted from PDF requires visual/source review; value was preserved without correction","Stimulant ي ُشطبد انشه ٍخ"
Drug_Products_Directory_Yemen.pdf,35,4,"Arabic source text extracted from PDF requires visual/source review; value was preserved without correction","Stimulant ي ُشطبد انشه ٍخ"
Drug_Products_Directory_Yemen.pdf,35,5,"Arabic source text extracted from PDF requires visual/source review; value was preserved without correction","Stimulant ي ُشطبد انشه ٍخ"
Drug_Products_Directory_Yemen.pdf,35,6,"Arabic source text extracted from PDF requires visual/source review; value was preserved without correction","Deficiency َمص ف ٍتبي ٍُبد"
Drug_Products_Directory_Yemen.pdf,35,7,"Arabic source text extracted from PDF requires visual/source review; value was preserved without correction","Deficiency َمص ف ٍتبي ٍُبد"
Drug_Products_Directory_Yemen.pdf,36,1,"Arabic source text extracted from PDF requires visual/source review; value was preserved without correction","Suppressant عبداد انشه ٍخ"
Drug_Products_Directory_Yemen.pdf,36,2,"Arabic source text extracted from PDF requires visual/source review; value was preserved without correction","ان ًؼذح"
Drug_Products_Directory_Yemen.pdf,36,3,"Arabic source text extracted from PDF requires visual/source review; value was preserved without correction","ً انذو ٌ ف ص ٌبدح انذهى"
Drug_Products_Directory_Yemen.pdf,36,4,"Arabic source text extracted from PDF requires visual/source review; value was preserved without correction","ً انذو ٌ ف ص ٌبدح انذهى"
Drug_Products_Directory_Yemen.pdf,36,5,"Arabic source text extracted from PDF requires visual/source review; value was preserved without correction","األنتهبثبد انجذنذ ٌخ"
Drug_Products_Directory_Yemen.pdf,36,6,"Arabic source text extracted from PDF requires visual/source review; value was preserved without correction","انتهبثبد انؼظبو"
Drug_Products_Directory_Yemen.pdf,36,7,"Arabic source text extracted from PDF requires visual/source review; value was preserved without correction","انتهبثبد انؼظبو"
Drug_Products_Directory_Yemen.pdf,37,1,"Arabic source text extracted from PDF requires visual/source review; value was preserved without correction","انتهبثبد انؼظبو"
Drug_Products_Directory_Yemen.pdf,37,6,"Arabic source text extracted from PDF requires visual/source review; value was preserved without correction","انتهبثبد انؼظبو"
Drug_Products_Directory_Yemen.pdf,38,2,"Arabic source text extracted from PDF requires visual/source review; value was preserved without correction","األوجبع"
Drug_Products_Directory_Yemen.pdf,38,3,"Arabic source text extracted from PDF requires visual/source review; value was preserved without correction","األوجبع"
Drug_Products_Directory_Yemen.pdf,38,4,"Arabic source text extracted from PDF requires visual/source review; value was preserved without correction","ٌ انشبئؼخ انذ ٌذا"
Drug_Products_Directory_Yemen.pdf,38,5,"Arabic source text extracted from PDF requires visual/source review; value was preserved without correction","Deficiency َمص ف ٍتبي ٍُبد"
Drug_Products_Directory_Yemen.pdf,38,6,"Arabic source text extracted from PDF requires visual/source review; value was preserved without correction","َضالد انجشد"
Drug_Products_Directory_Yemen.pdf,38,7,"Arabic source text extracted from PDF requires visual/source review; value was preserved without correction","ي ُشطبد ج ُغ ٍخ"
Drug_Products_Directory_Yemen.pdf,39,1,"Arabic source text extracted from PDF requires visual/source review; value was preserved without correction","انجهطبد"
Drug_Products_Directory_Yemen.pdf,39,2,"Arabic source text extracted from PDF requires visual/source review; value was preserved without correction","Disorders اضطشاثبد انجهبص ً انت ُفغ"
Drug_Products_Directory_Yemen.pdf,39,3,"Arabic source text extracted from PDF requires visual/source review; value was preserved without correction","انجهطبد"
Drug_Products_Directory_Yemen.pdf,39,4,"Arabic source text extracted from PDF requires visual/source review; value was preserved without correction","األوجبع"
Drug_Products_Directory_Yemen.pdf,39,5,"Arabic source text extracted from PDF requires visual/source review; value was preserved without correction","انجهطبد"
Drug_Products_Directory_Yemen.pdf,39,6,"Arabic source text extracted from PDF requires visual/source review; value was preserved without correction","انجهطبد"
